NIT;DESCRIPCION;Detalle;fecha de vencimiento;LOTE
;AGUDOL X 30 COMP REC BOL - LOTE: 2516172 VENCIMIENTO: 04/07/2027;<p>PEDIDO L031, FACT.1501, FARMACIA LA MERCED, VENTA DE PRODUCTOS.</p>;24/12/2025;
;ALGIOFLEX RELAX X 20 COMP BOL - LOTE: 2516584 VENCIMIENTO: 27/08/2027;;;
;CLANZOL 20 MG X 30 CAP BOL - LOTE: 2411526 VENCIMIENTO: 17/06/2027;;;
;DOLOSTOP SL 30 X 10 COMP SUBLINGUAL BOL - LOTE: 2516252 VENCIMIENTO: 18/07/2027;;;
;K-DOL 600 MG CR X 10 BOL - LOTE: 2301050 VENCIMIENTO: 31/01/2027;;;
;K-DOL FORTE 400 MG CR X 20 BOL - LOTE: 2515916 VENCIMIENTO: 01/06/2028;;;
;K-DOL GEL X 50 GR BOL - LOTE: 2516497 VENCIMIENTO: 29/07/2030;;;
;K-DOL RAPID 600 CAJA X10 CB BOL - LOTE: 2517040 VENCIMIENTO: 30/06/2027;;;
;LEVOMIN GESIC X 20 COMP REC BOL - LOTE: 2515139 VENCIMIENTO: 30/04/2027;;;
;ACTIZIM CAJA X 6 COMP REC BOL - LOTE: 2516419 VENCIMIENTO: 28/07/2028;<p>PEDIDO C058, FACT. 1500, FARMACIA HOSSANA, VENTA DE PRODUCTOS.</p>;24/12/2025;
;AGUDOL X 30 COMP REC BOL - LOTE: 2516172 VENCIMIENTO: 04/07/2027;;;
;ALGIOFLEX 15 MG X 10 COMP BOL - LOTE: 2514849 VENCIMIENTO: 14/03/2028;;;
;ALGIOFLEX RELAX X 20 COMP BOL - LOTE: 2516584 VENCIMIENTO: 27/08/2027;;;
;CLANZOL 20 MG X 30 CAP BOL - LOTE: 2411526 VENCIMIENTO: 17/06/2027;;;
;DOLOSTOP SL 30 X 10 COMP SUBLINGUAL BOL - LOTE: 2516252 VENCIMIENTO: 18/07/2027;;;
;K-DOL 600 MG CR X 10 BOL - LOTE: 2301050 VENCIMIENTO: 31/01/2027;;;
;K-DOL FORTE 400 MG CR X 20 BOL - LOTE: 2515916 VENCIMIENTO: 01/06/2028;;;
;K-DOL GEL X 50 GR BOL - LOTE: 2516017 VENCIMIENTO: 01/06/2030, LOTE: 2516497 VENCIMIENTO: 29/07/2030;;;
;K-DOL RAPID 600 CAJA X10 CB BOL - LOTE: 2517040 VENCIMIENTO: 30/06/2027;;;
;LEVOMIN 50 MG X 20 COMP. REC. BOL - LOTE: 2411965 VENCIMIENTO: 04/07/2026;;;
;LEVOMIN GESIC X 20 COMP REC BOL - LOTE: 2414059 VENCIMIENTO: 31/01/2027, LOTE: 2515139 VENCIMIENTO: 30/04/2027;;;
;ALERCROM CJA X 10 COMP BOL - LOTE: 2301044 VENCIMIENTO: 17/11/2027;<p>PEDIDO C056, FACT. 1499, INSTITUTO PSIQUIATRICO SAN JUAN DE DIOS, VENTA DE PRODUCTOS.</p>;24/12/2025;
;CLANZOL 20 MG X 30 CAP BOL - LOTE: 2411526 VENCIMIENTO: 17/06/2027;;;
;K-DOL FORTE 400 MG CR X 20 BOL - LOTE: 2515916 VENCIMIENTO: 01/06/2028;;;
;K-DOL RAPID 600 CAJA X10 CB BOL - LOTE: 2517040 VENCIMIENTO: 30/06/2027;;;
;LEVOMIN 50 MG X 20 COMP. REC. BOL - LOTE: 2411965 VENCIMIENTO: 04/07/2026;;;
;ACTIZIM PVO P/SUSP X 50 ML BOL - LOTE: 2413180 VENCIMIENTO: 03/10/2026;<p>PEDIDO Q634, RE-FACT. 1498, FARMACORP S.A., VENTA DE PRODUCTOS.</p>;24/12/2025;
;AGUDOL X 30 COMP REC BOL - LOTE: 2516172 VENCIMIENTO: 04/07/2027;;;
;ALGIOFLEX RELAX X 20 COMP BOL - LOTE: 2516584 VENCIMIENTO: 27/08/2027;;;
;BIO CEFALIN 1 PVO EST P/ SOL INY+SOL - LOTE: 2514316001 VENCIMIENTO: 02/03/2028;;;
;BIOTEXIN 40 MG X 1 JP C/S. SEG BOL - LOTE: 2515603 VENCIMIENTO: 07/05/2027;;;
;BIOTEXIN 60 MG X 1 JP C/S. SEG BOL - LOTE: 2413127 VENCIMIENTO: 26/09/2026, LOTE: 2514780 VENCIMIENTO: 01/03/2027;;;
;BRONCOFIX A SUSPENSION X 100 ML BOL - LOTE: 2514597 VENCIMIENTO: 04/03/2027;;;
;CARDICAP 12.5 MG CAJA X 30 COMP BOL - LOTE: 2515810 VENCIMIENTO: 12/06/2027;;;
;CARDICAP 6.25 MG CAJA X 30 COMP BOL - LOTE: 2516525 VENCIMIENTO: 25/07/2027;;;
;CLANZOL LIOF + SOLV. BOL - LOTE: 2516390001 VENCIMIENTO: 22/07/2028;;;
;DOLOSTOP 20MG X 10 COMP REC BOL - LOTE: 2516698 VENCIMIENTO: 08/08/2028;;;
;DOLOSTOP SL 20 X 20 COMP SUBLINGUAL BOL - LOTE: 2516145 VENCIMIENTO: 25/06/2027;;;
;ESOMEP 20 X 30 COMP REC BOL - LOTE: 2514551 VENCIMIENTO: 01/02/2027;;;
;ESOMEP 40 X 30 COMP REC BOL - LOTE: 2410526 VENCIMIENTO: 25/03/2026;;;
;K-DOL 200 SUSP PEDIAT. X 100 ML BOL - LOTE: 2516911 VENCIMIENTO: 25/08/2027;;;
;K-DOL RAPID 600 CAJA X10 CB BOL - LOTE: 2517040 VENCIMIENTO: 30/06/2027;;;
;LAGRIMAS ARTIFICIALES LASCA GTS OFT.10ML BOL - LOTE: 2514836 VENCIMIENTO: 26/03/2027;;;
;LEVOMIN GESIC X 20 COMP REC BOL - LOTE: 2515139 VENCIMIENTO: 30/04/2027;;;
;LUKADIN SOL. ESTERIL GTS OFTAL. 10 ML BOL  - LOTE: 2514559 VENCIMIENTO: 17/02/2027;;;
;MARSIN 150 MG X 2 CAP BOL  - LOTE: 2515366 VENCIMIENTO: 01/04/2027;;;
;SELENE X CAJA X 1 AMPOLLA X 1 ML - LOTE: 2515045 VENCIMIENTO: 07/04/2028;;;
;TORVA 20 CAJA X 30 COMP BOL - LOTE: 2514693 VENCIMIENTO: 04/03/2027;;;
;ACTIZIM CAJA X 6 COMP REC BOL - LOTE: 2516419 VENCIMIENTO: 28/07/2028;<p>PEDIDO L029, FACT. 1496, FARMACIA PHARMASUCRE, VENTA DE PRODUCTOS.</p>;24/12/2025;
;AVIR 800 X 30 COMP BOL - LOTE: 2516392 VENCIMIENTO: 14/08/2027;;;
;ALERCROM CJA X 10 COMP BOL - LOTE: 2301044 VENCIMIENTO: 17/11/2027;<p>PEDIDO Q638, FACT. 1495, FARMACORP S.A., VENTA DE PRODUCTOS.</p>;24/12/2025;
;PREXIN X 30 COMP. REC. BOL - LOTE: 2410920 VENCIMIENTO: 29/04/2026;;;
;PREXIN D X 30 COMP. REC. BOL - LOTE: 2410887 VENCIMIENTO: 19/04/2026;;;
;ACTIZIM CAJA X 6 COMP REC BOL - LOTE: 2516419 VENCIMIENTO: 28/07/2028;<p>PEDIDO Q637, FACT. 1494, FARMACORP S.A., VENTA DE PRODUCTOS.</p>;24/12/2025;
;ALERCROM CJA X 10 COMP BOL - LOTE: 2301044 VENCIMIENTO: 17/11/2027;;;
;PREXIN X 30 COMP. REC. BOL - LOTE: 2410920 VENCIMIENTO: 29/04/2026;;;
;PREXIN D X 30 COMP. REC. BOL - LOTE: 2410887 VENCIMIENTO: 19/04/2026;;;
;PROSTAR 0.4 MG CAJA X 30 CAP BOL - LOTE: 2516825 VENCIMIENTO: 25/08/2027;;;
;AGUDOL X 30 COMP REC BOL - LOTE: 2516172 VENCIMIENTO: 04/07/2027;"<p>PEDIDO&nbsp; C055, RE-FACT. 1494, DISTRIBUIDORA L&amp;S S.R.L., VENTA DE PRODUCTOS.</p>";07/02/2026;
;K-DOL GEL X 50 GR BOL - LOTE: 2516017 VENCIMIENTO: 01/06/2030, LOTE: 2516497 VENCIMIENTO: 29/07/2030;;;
;LEVOMIN 50 MG X 20 COMP. REC. BOL - LOTE: 2411965 VENCIMIENTO: 04/07/2026;;;
;LEVOMIN GESIC X 20 COMP REC BOL - LOTE: 2414059 VENCIMIENTO: 31/01/2027, LOTE: 2515139 VENCIMIENTO: 30/04/2027;;;
;PROSTAR 0.4 MG CAJA X 30 CAP BOL - LOTE: 2516825 VENCIMIENTO: 25/08/2027;;;
;TORVA 20 CAJA X 30 COMP BOL - LOTE: 2409590 VENCIMIENTO: 09/01/2026;;;
;ACTIZIM PVO P/SUSP X 50 ML BOL - LOTE: 2413180 VENCIMIENTO: 03/10/2026;<p>PEDIDO Q635, FACT. 1491, FARMACORP S.A., VENTA DE PRODUCTOS.</p>;24/12/2025;
;AGUDOL X 30 COMP REC BOL - LOTE: 2516172 VENCIMIENTO: 04/07/2027;;;
;ALGIOFLEX 15 MG X 10 COMP BOL - LOTE: 2516982 VENCIMIENTO: 01/09/2028;;;
;BIO CEFALIN 1 PVO EST P/ SOL INY+SOL - LOTE: 2514892001 VENCIMIENTO: 01/03/2028;;;
;BIOTEXIN 40 MG X 1 JP C/S. SEG BOL - LOTE: 2515603 VENCIMIENTO: 07/05/2027;;;
;BIOTEXIN 60 MG X 1 JP C/S. SEG BOL - LOTE: 2514780 VENCIMIENTO: 01/03/2027;;;
;BRONCOFIX A SUSPENSION X 100 ML BOL - LOTE: 2514597 VENCIMIENTO: 04/03/2027;;;
;CARDICAP 12.5 MG CAJA X 30 COMP BOL - LOTE: 2515810 VENCIMIENTO: 12/06/2027;;;
;CARDICAP 6.25 MG CAJA X 30 COMP BOL - LOTE: 2515814 VENCIMIENTO: 11/06/2027;;;
;CLANZOL LIOF + SOLV. BOL - LOTE: 2516390001 VENCIMIENTO: 22/07/2028;;;
;DOLOSTOP 20MG X 10 COMP REC BOL - LOTE: 2516698 VENCIMIENTO: 08/08/2028;;;
;DOLOSTOP SL 20 X 20 COMP SUBLINGUAL BOL - LOTE: 2516145 VENCIMIENTO: 25/06/2027;;;
;DOLOSTOP SL 30 X 10 COMP SUBLINGUAL BOL - LOTE: 2516252 VENCIMIENTO: 18/07/2027;;;
;ESOMEP 20 X 30 COMP REC BOL - LOTE: 2514551 VENCIMIENTO: 01/02/2027;;;
;ESOMEP 40 X 30 COMP REC BOL - LOTE: 2410526 VENCIMIENTO: 25/03/2026;;;
;K-DOL 200 SUSP PEDIAT. X 100 ML BOL - LOTE: 2516911 VENCIMIENTO: 25/08/2027;;;
;K-DOL RAPID 600 CAJA X10 CB BOL - LOTE: 2517040 VENCIMIENTO: 30/06/2027;;;
;LEVOMIN 75 MG X 3 AMP BOL - LOTE: 2516645 VENCIMIENTO: 01/08/2028;;;
;LEVOMIN GESIC X 20 COMP REC BOL - LOTE: 2515139 VENCIMIENTO: 30/04/2027;;;
;LUKADIN SOL. ESTERIL GTS OFTAL. 10 ML BOL  - LOTE: 2514559 VENCIMIENTO: 17/02/2027;;;
;OCULISON ANTIAL. SOL. ESTERIL GTS OFT. 1 - LOTE: 2516315 VENCIMIENTO: 23/07/2027;;;
;SELENE X CAJA X 1 AMPOLLA X 1 ML - LOTE: 2515045 VENCIMIENTO: 07/04/2028;;;
;TENSIOCOM 10 MG X 30 COMP BOL - LOTE: 2410568 VENCIMIENTO: 04/04/2026;;;
;TORVA 20 CAJA X 30 COMP BOL - LOTE: 2514693 VENCIMIENTO: 04/03/2027;;;
;ALERCROM CJA X 10 COMP BOL - LOTE: 2301044 VENCIMIENTO: 17/11/2027;<p>PEDIDO Q635, FACT. 1489, FARMACORP S.A., VENTA DE PRODUCTOS.</p>;24/12/2025;
;GLIFOZINA 10 MG X 30 COMP REC BOL - LOTE: 2516028 VENCIMIENTO: 17/06/2027;;;
;K-DOL FORTE 400 MG CR X 20 BOL - LOTE: 2515916 VENCIMIENTO: 01/06/2028, LOTE: 2517183 VENCIMIENTO: 19/09/2028;;;
;ONDATRON 8 MG X 1 AMPOLLA BOL  - LOTE: 2516906 VENCIMIENTO: 04/09/2027;;;
;PREXIN X 30 COMP. REC. BOL - LOTE: 2410920 VENCIMIENTO: 29/04/2026;;;
;PREXIN D X 30 COMP. REC. BOL - LOTE: 2410887 VENCIMIENTO: 19/04/2026;;;
;PROSTAR 0.4 MG CAJA X 30 CAP BOL - LOTE: 2516825 VENCIMIENTO: 25/08/2027;;;
;ACTIZIM CAJA X 6 COMP REC BOL - LOTE: 2516419 VENCIMIENTO: 28/07/2028;<p>PEDIDO C053, FACT. 1488, FARMACIA J. ELIAS, VENTA DE PRODUCTOS.</p>;24/12/2025;
;AGUDOL X 30 COMP REC BOL - LOTE: 2516172 VENCIMIENTO: 04/07/2027;;;
;ALGIOFLEX 15 MG X 10 COMP BOL - LOTE: 2514849 VENCIMIENTO: 14/03/2028;;;
;ALGIOFLEX RELAX X 20 COMP BOL - LOTE: 2516584 VENCIMIENTO: 27/08/2027;;;
;CLANZOL 20 MG X 30 CAP BOL - LOTE: 2411526 VENCIMIENTO: 17/06/2027;;;
;DOLOSTOP SL 30 X 10 COMP SUBLINGUAL BOL - LOTE: 2516252 VENCIMIENTO: 18/07/2027;;;
;K-DOL 600 MG CR X 10 BOL - LOTE: 2301050 VENCIMIENTO: 31/01/2027;;;
;K-DOL FORTE 400 MG CR X 20 BOL - LOTE: 2515916 VENCIMIENTO: 01/06/2028;;;
;K-DOL GEL X 50 GR BOL - LOTE: 2516017 VENCIMIENTO: 01/06/2030;;;
;K-DOL RAPID 600 CAJA X10 CB BOL - LOTE: 2517040 VENCIMIENTO: 30/06/2027;;;
;LEVOMIN 50 MG X 20 COMP. REC. BOL - LOTE: 2411965 VENCIMIENTO: 04/07/2026;;;
;LEVOMIN GESIC X 20 COMP REC BOL - LOTE: 2414059 VENCIMIENTO: 31/01/2027;;;
;ACTIZIM CAJA X 6 COMP REC BOL - LOTE: 2516419 VENCIMIENTO: 28/07/2028;<p>PEDIDO C052, FACT. 1487, FARMACIA SEÑOR DE MAYO, VENTA DE PRODUCTOS.</p>;24/12/2025;
;AGUDOL X 30 COMP REC BOL - LOTE: 2516172 VENCIMIENTO: 04/07/2027;;;
;ALGIOFLEX 15 MG X 10 COMP BOL - LOTE: 2514849 VENCIMIENTO: 14/03/2028;;;
;ALGIOFLEX RELAX X 20 COMP BOL - LOTE: 2516584 VENCIMIENTO: 27/08/2027;;;
;CLANZOL 20 MG X 30 CAP BOL - LOTE: 2411526 VENCIMIENTO: 17/06/2027;;;
;DOLOSTOP SL 30 X 10 COMP SUBLINGUAL BOL - LOTE: 2516252 VENCIMIENTO: 18/07/2027;;;
;K-DOL 600 MG CR X 10 BOL - LOTE: 2301050 VENCIMIENTO: 31/01/2027;;;
;K-DOL FORTE 400 MG CR X 20 BOL - LOTE: 2515916 VENCIMIENTO: 01/06/2028;;;
;K-DOL GEL X 50 GR BOL - LOTE: 2516017 VENCIMIENTO: 01/06/2030;;;
;K-DOL RAPID 600 CAJA X10 CB BOL - LOTE: 2517040 VENCIMIENTO: 30/06/2027;;;
;LEVOMIN 50 MG X 20 COMP. REC. BOL - LOTE: 2411965 VENCIMIENTO: 04/07/2026;;;
;LEVOMIN GESIC X 20 COMP REC BOL - LOTE: 2414059 VENCIMIENTO: 31/01/2027;;;
;DOLOSTOP SL 30 X 10 COMP SUBLINGUAL BOL - LOTE: 2516252 VENCIMIENTO: 18/07/2027;<p>PEDIDO C051, FACT. 1486, CLINICA DE PADUA, VENTA DE PRODUCTOS.</p>;24/12/2025;
;ACTIZIM PVO P/SUSP X 50 ML BOL - LOTE: 2413180 VENCIMIENTO: 03/10/2026;<p>PEDIDO Q633, FACT. 1484, FARMACORP S.A., VENTA DE PRODUCTOS.</p>;24/12/2025;
;AGUDOL X 30 COMP REC BOL - LOTE: 2516172 VENCIMIENTO: 04/07/2027;;;
;ALGIOFLEX 15 MG X 10 COMP BOL - LOTE: 2516982 VENCIMIENTO: 01/09/2028;;;
;ALGIOFLEX RELAX X 20 COMP BOL - LOTE: 2516584 VENCIMIENTO: 27/08/2027;;;
;BIO CEFALIN 1 PVO EST P/ SOL INY+SOL - LOTE: 2514316001 VENCIMIENTO: 02/03/2028;;;
;BIOTEXIN 40 MG X 1 JP C/S. SEG BOL - LOTE: 2515603 VENCIMIENTO: 07/05/2027;;;
;BIOTEXIN 60 MG X 1 JP C/S. SEG BOL - LOTE: 2413127 VENCIMIENTO: 26/09/2026;;;
;BRONCOFIX A SUSPENSION X 100 ML BOL - LOTE: 2514597 VENCIMIENTO: 04/03/2027;;;
;CARDICAP 12.5 MG CAJA X 30 COMP BOL - LOTE: 2515810 VENCIMIENTO: 12/06/2027;;;
;CARDICAP 6.25 MG CAJA X 30 COMP BOL - LOTE: 2515814 VENCIMIENTO: 11/06/2027;;;
;CLANZOL LIOF + SOLV. BOL - LOTE: 2516390001 VENCIMIENTO: 22/07/2028;;;
;CLANZOL 20 MG X 30 CAP BOL - LOTE: 2411526 VENCIMIENTO: 17/06/2027;;;
;DOLOSTOP 20MG X 10 COMP REC BOL - LOTE: 2516698 VENCIMIENTO: 08/08/2028;;;
;DOLOSTOP SL 20 X 20 COMP SUBLINGUAL BOL - LOTE: 2516145 VENCIMIENTO: 25/06/2027;;;
;DOLOSTOP SL 30 X 10 COMP SUBLINGUAL BOL - LOTE: 2516252 VENCIMIENTO: 18/07/2027;;;
;ESOMEP 20 X 30 COMP REC BOL - LOTE: 2514551 VENCIMIENTO: 01/02/2027;;;
;ESOMEP 40 X 30 COMP REC BOL - LOTE: 2410526 VENCIMIENTO: 25/03/2026, LOTE: 2514815 VENCIMIENTO: 01/03/2027;;;
;K-DOL 200 SUSP PEDIAT. X 100 ML BOL - LOTE: 2516911 VENCIMIENTO: 25/08/2027;;;
;K-DOL RAPID 600 CAJA X10 CB BOL - LOTE: 2517040 VENCIMIENTO: 30/06/2027;;;
;LAGRIMAS ARTIFICIALES LASCA GTS OFT.10ML BOL - LOTE: 2514836 VENCIMIENTO: 26/03/2027;;;
;LEVOMIN 50 MG X 20 COMP. REC. BOL - LOTE: 2411965 VENCIMIENTO: 04/07/2026;;;
;LEVOMIN 75 MG X 3 AMP BOL - LOTE: 2516645 VENCIMIENTO: 01/08/2028;;;
;LEVOMIN GESIC X 20 COMP REC BOL - LOTE: 2515139 VENCIMIENTO: 30/04/2027;;;
;LUKADIN SOL. ESTERIL GTS OFTAL. 10 ML BOL  - LOTE: 2514559 VENCIMIENTO: 17/02/2027;;;
;MARSIN 150 MG X 2 CAP BOL  - LOTE: 2515366 VENCIMIENTO: 01/04/2027;;;
;OCULISON ANTIAL. SOL. ESTERIL GTS OFT. 1 - LOTE: 2516315 VENCIMIENTO: 23/07/2027;;;
;SELENE X CAJA X 1 AMPOLLA X 1 ML - LOTE: 2515045 VENCIMIENTO: 07/04/2028;;;
;SOLAX INY CJA X 5 AMP 2ML BOL - LOTE: 2514293 VENCIMIENTO: 10/02/2029, LOTE: 2514988 VENCIMIENTO: 01/04/2029;;;
;TENSIOCOM 10 MG X 30 COMP BOL - LOTE: 2410568 VENCIMIENTO: 04/04/2026;;;
;TORVA 20 CAJA X 30 COMP BOL - LOTE: 2514693 VENCIMIENTO: 04/03/2027;;;
